Username,Produk,Review,Rating,ReviewAt
user_23860,Celana Jeans,Penjual tidak merespon chat.,2,2023-03-11
user_7867,Kaos Polos,"Beli karena review bagus, ternyata zonk.",1,2024-11-27
siraitolivia,Kaos Oblong,"Warnanya cantik dan tahan lama, puas banget!",4,2025-03-20
user_10132,Tas Wanita,Ukuran tidak sesuai deskripsi.,1,2023-01-05
intanjolie,WARDAH Colorfit Last All Day Lip Paint 4 gr - Tahan Lama Hingga 12 Jam - Transferproof dengan One Swipe Coverage - Warna Intense - Makeup,Warna nya cakep,5,2025-06-13 10:20
user_12958,Smartphone Android,"Barang palsu, bukan original.",1,2023-05-10
user_22978,Lampu Tidur,Tidak direkomendasikan sama sekali.,2,2024-03-18
user_213,Lampu Tidur,Tidak direkomendasikan sama sekali.,1,2023-12-08
user_581,Skincare Serum,Rating tinggi tapi kualitas rendah.,1,2023-07-08
user_11905,Flashdisk 64GB,"Beli karena review bagus, ternyata zonk.",1,2023-04-20
user_15436,Kemeja Pria,Worth it banget untuk harga segini.,4,2023-11-10
h*****a,SKIN1004 Madagascar Centella Air-Fit Suncream Plus (Renewal) 50ml,LITERALLY KAYAKKKKKK MENCEGAH BELANG BGT ASLI SUKA NO BELANG BELANG CLUB,5,2025-06-11 17:06
dartono67,Jaket Hoodie,"Warnanya cantik dan tahan lama, puas banget!",5,2024-08-17
user_10088,Lampu Tidur,Barang rusak saat diterima.,1,2024-08-13
user_13032,Headset Gaming,Kualitas sangat buruk.,2,2023-07-25
candrakanta94,Mouse Wireless,"Warnanya cantik dan tahan lama, puas banget!",5,2025-03-09
i*****n,HijabChic Lucie Creme Pink Top - Baju Lebaran Motif Bunga Cantik Satin Premium Tali Kerah Busui,Bagus baju nya adem cuma tipis,4,2025-03-23 19:57
user_23158,Kemeja Pria,Pengiriman cepat dan aman.,4,2024-02-25
user_18160,Parfum Wanita,Pengiriman sangat lama.,2,2023-05-27
cindyharyanti,Sandals Pria,"Produk bagus, bahan adem dan sesuai gambar.",4,2025-04-24
user_15110,Celana Jeans,"Barang palsu, bukan original.",1,2024-11-24
user_11415,Mouse Wireless,"Servis buruk, tidak profesional.",2,2023-01-20
user_7813,Smartphone Android,Kualitas sangat buruk.,1,2024-12-23
user_10017,Powerbank,Top banget! Bakal order lagi nanti.,5,2023-03-07
user_20556,Keyboard Mechanical,Kualitas sangat buruk.,2,2024-06-27
user_7315,Meja Belajar,Packing asal-asalan.,1,2024-06-06
user_15622,Parfum Wanita,"Barang cacat, sangat mengecewakan.",2,2024-07-25
user_22963,Headset Gaming,Kualitas sangat buruk.,2,2024-07-19
user_13559,Kaos Polos,Rating tinggi tapi kualitas rendah.,1,2023-03-21
makarasihotang,Headset Bluetooth,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-04-02
user_13033,Sepatu Sneakers,Pengiriman cepat dan aman.,5,2024-10-19
kasim03,Lipstik Matte,Produk original dan kualitasnya premium.,5,2024-10-15
dirja21,Kemeja Polos,"Packing rapi banget, penjual ramah.",4,2024-06-24
user_9734,Mouse Wireless,Barang rusak saat diterima.,1,2023-10-03
a*****1,SKINTIFIC - Perfect Stay Velvet Matte Cushion | Foundation Compact Oil-Control Waterproof Sweatproof Matte Finish Poreless Blue Cushion Foundation Flawless BB&CC Cream Makeup High-Coverage Bedak Skin Tint,Kalau ada bintang 0 kukasih bintang 0 ni seller nya,1,2025-06-10 21:46
user_22296,Kursi Lipat,"Barang cacat, sangat mengecewakan.",1,2024-03-24
user_22440,Kursi Lipat,"Beli karena review bagus, ternyata zonk.",2,2023-06-15
user_16435,Kursi Lipat,Sangat kecewa dengan produk ini.,1,2024-05-10
ida26,Keyboard Mechanical,"Harga terjangkau, kualitas mantap!",5,2025-01-21
user_11682,Rak Sepatu,Barang tidak berfungsi dengan baik.,2,2024-09-28
user_850,Jam Tangan Digital,Harga terjangkau dengan kualitas oke.,4,2024-11-22
user_22637,Mouse Wireless,Produk kotor dan tidak layak pakai.,2,2023-03-18
user_14552,Meja Belajar,Kualitas sangat buruk.,1,2023-09-09
n92eu76hci,SKINTIFIC - Mugwort Acne Clay Stick + Alaska Clay Stick | Clay Stick Combo Masker Wajah Komedo Acner Eksfoliasi Wajah Glowing Kecantikan Skincare Niacinamide Salicylic Acid Ceramide Centella Glycolic Acid Probiotic Complex,Mugwort nya KK cuma 1 padahal saya beli 2,1,2025-06-12 10:30
user_13566,Skincare Serum,"Puas banget, terima kasih seller!",5,2024-02-15
ihabibi,Tumbler Stainless,"Pengiriman cepat, packing rapi. Recommended!",4,2024-07-01
hasnawasita,Tumbler Stainless,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-08-01
nrahayu,Parfum Unisex,"Warnanya cantik dan tahan lama, puas banget!",5,2024-10-12
user_19725,Rak Sepatu,Kualitas sangat buruk.,1,2024-04-18
user_9989,Kaos Polos,Produk tidak sesuai gambar.,2,2023-10-20
user_13188,Rak Sepatu,Sangat puas dengan pelayanan toko ini.,5,2023-09-17
user_20155,Rak Sepatu,Baru dipakai sebentar sudah rusak.,1,2024-09-19
user_7854,Meja Belajar,Barang datang lebih cepat dari perkiraan.,5,2024-01-22
user_7416,Mouse Wireless,"Servis buruk, tidak profesional.",1,2024-07-06
sihotangintan,Tas Ransel,"Packing rapi banget, penjual ramah.",4,2024-12-12
87l_2ums_o,Sendok Centong Nasi Dengan Tutup Otomatis / Dispenser Spice Rice Spoon with Cover,"Lain yg dipesan,  lain yg dikirim saya kecewa sekali",1,2025-06-04 18:21
evi.nonik05,Flatshoes Fioni Winnie Payless,"Styling:keren
Kenyamanan:belum dicoba dengan jalan lama sehh semoga ga lecet
Kualitas:ok elegan",5,2024-07-03 16:39
user_18123,Kemeja Pria,Penjual sangat ramah dan fast respon.,4,2023-10-21
mhariyah,Jaket Hoodie,"Sudah belanja beberapa kali, selalu puas.",5,2025-01-27
user_19267,Buku Catatan,Sangat kecewa dengan produk ini.,1,2023-09-04
nababanamalia,Dompet Kulit,"Sudah belanja beberapa kali, selalu puas.",4,2025-05-13
hananurdiyanti,Parfum Unisex,Produk original dan kualitasnya premium.,5,2025-04-17
user_20172,Keyboard Mechanical,Sangat kecewa dengan produk ini.,2,2024-10-19
riyantiharsanto,Keyboard Mechanical,"Respon penjual cepat, barang dikirim hari itu juga.",4,2024-09-14
user_5176,Smartphone Android,Rating tinggi tapi kualitas rendah.,2,2023-04-05
user_24743,Lampu Tidur,"Barang cacat, sangat mengecewakan.",2,2023-03-03
irawanemas,Kemeja Polos,"Warnanya cantik dan tahan lama, puas banget!",5,2024-07-24
user_2827,Makeup Set,Ukuran tidak sesuai deskripsi.,1,2023-06-12
user_20858,Powerbank,Barang original dan berkualitas.,4,2023-12-24
user_7495,Kursi Lipat,Produk kotor dan tidak layak pakai.,1,2023-07-17
user_10996,Kemeja Pria,Barang tidak berfungsi dengan baik.,2,2023-03-23
rahmanirawan,Tumbler Stainless,"Packing rapi banget, penjual ramah.",4,2024-12-11
user_16302,Rak Sepatu,Tidak direkomendasikan sama sekali.,1,2023-06-11
user_17026,Skincare Serum,Ukuran tidak sesuai deskripsi.,1,2023-06-11
s*****d,Gosh Lunaria 420 Sling Bag,"Desain:simple
Kualitas:seperti gosh pada umumnya
Keaslian:ori

Bagus desainnya simple gak gonjreng kayak yg lainnya, tapi untuk kualitas kulitnya biasa aja ya, sama kayak tas gosh pada umumnya yg gampang kelupas",5,2025-06-02 23:17
hasanahwulan,Sandals Pria,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-04-13
tugiman56,Jam Tangan Digital,"Warnanya cantik dan tahan lama, puas banget!",5,2024-07-28
hafshah57,Headset Bluetooth,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-04-17
fpadmasari,Lipstik Matte,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-11-08
user_2443,Skincare Serum,Sudah komplain tapi tidak ada solusi.,2,2024-04-09
user_15920,Lampu Tidur,Packing asal-asalan.,2,2024-03-26
user_13666,Rak Sepatu,Sesuai dengan rating dan review yang saya baca.,4,2023-01-30
wahyu64,Lipstik Matte,"Warnanya cantik dan tahan lama, puas banget!",5,2025-05-01
marsito49,Tumbler Stainless,"Sudah belanja beberapa kali, selalu puas.",4,2024-08-25
user_4318,Parfum Wanita,Pengiriman sangat lama.,1,2023-10-01
user_8016,Kaos Polos,"Barang cacat, sangat mengecewakan.",2,2024-08-22
user_17767,Kursi Lipat,Packing asal-asalan.,2,2024-01-24
user_8761,Kursi Lipat,Packing rapi dan aman sampai tujuan.,4,2024-08-28
user_19481,Headset Gaming,Barang rusak saat diterima.,2,2024-01-08
kkuswoyo,Powerbank 10000mAh,Barang sampai dengan aman dan cepat.,4,2024-07-01
user_1261,Smartphone Android,Sesuai dengan rating dan review yang saya baca.,4,2024-01-29
user_15226,Jam Tangan Digital,"Barang palsu, bukan original.",1,2024-12-09
user_4281,Meja Belajar,Sangat direkomendasikan untuk semua orang.,4,2024-08-03
user_7536,Keyboard Mechanical,"Barang palsu, bukan original.",2,2023-02-28
s*****2,Pengait Resleting Zipper Universal Tas Celana Zip Jaket Cantelan Ritsleting Gantungan Kepala Penarik Sleting Locker Fastener - ox,Tadinya mau dipake buat jaket ternyata resleting jaketnya udh ngga ada jadi dipake buat tas aĵalah😅,5,2025-05-27 16:49
user_13216,Kursi Lipat,Worth it banget untuk harga segini.,4,2023-07-21
user_22786,Powerbank,Top banget! Bakal order lagi nanti.,4,2024-11-30
wzulaika,Jam Tangan Digital,Barang sampai dengan aman dan cepat.,4,2024-12-23
user_8982,Sepatu Sneakers,Baru dipakai sebentar sudah rusak.,1,2024-11-03
user_4800,Smartphone Android,Sangat direkomendasikan untuk semua orang.,4,2023-09-22
user_18342,Celana Jeans,"Beli karena review bagus, ternyata zonk.",1,2023-09-26
user_8725,Skincare Serum,Baru dipakai sebentar sudah rusak.,2,2024-07-06
user_15046,Celana Jeans,Sesuai dengan rating dan review yang saya baca.,4,2023-04-16
user_3034,Mouse Wireless,Warna tidak sesuai pesanan.,1,2023-06-01
dadap86,Sandals Pria,"Warnanya cantik dan tahan lama, puas banget!",4,2025-06-05
ipermata,Jam Tangan Digital,"Pengiriman cepat, packing rapi. Recommended!",5,2024-06-27
nurdiyantivivi,Powerbank 10000mAh,Produk original dan kualitasnya premium.,5,2025-02-05
user_12028,Celana Jeans,Sudah komplain tapi tidak ada solusi.,1,2024-09-17
user_10280,Mouse Wireless,"Barang palsu, bukan original.",1,2024-01-18
user_17434,Jam Tangan Digital,Sangat kecewa dengan produk ini.,1,2023-12-13
dpranowo,Kaos Oblong,"Packing rapi banget, penjual ramah.",5,2025-02-03
user_17984,Lampu Tidur,Produk tidak sesuai gambar.,2,2023-12-27
user_5798,Parfum Wanita,"Puas banget, terima kasih seller!",5,2023-12-07
qtampubolon,Jaket Hoodie,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-04-05
user_23652,Tas Wanita,Pengiriman sangat lama.,2,2023-07-08
user_4375,Sepatu Sneakers,Barang datang lebih cepat dari perkiraan.,4,2023-11-10
user_7655,Meja Belajar,Barang datang lebih cepat dari perkiraan.,4,2023-03-22
user_565,Meja Belajar,Rating tinggi tapi kualitas rendah.,2,2024-11-17
fifiiiii13,"Gosh Paperbag 005 (TIDAK DIJUAL PPBG AJA, ORDER HARUS SESUAI QUANTITY PEMBELIAN PRODUK)","Desain:GA DIKIRIM PAPERBAGNYA
Ukuran:GA DIKIRIM PAPERBAGNYA
Keaslian:GA DIKIRIM PAPERBAGNYA",1,2025-06-13 01:22
a*****3,Gosh Kalmia 400 Clutch,"tasnya lucuu
workh itu di pakai sehari hari
buat penyimpanan handpone",5,2025-06-12 22:49
user_6500,Buku Catatan,Terlalu mahal untuk kualitas seperti ini.,1,2023-03-08
asalahudin,Headset Bluetooth,"Packing rapi banget, penjual ramah.",4,2024-08-26
user_8385,Flashdisk 64GB,Tidak direkomendasikan sama sekali.,2,2023-10-26
user_22317,Keyboard Mechanical,Produk kotor dan tidak layak pakai.,2,2024-05-12
nurul75,Tumbler Stainless,"Harga terjangkau, kualitas mantap!",4,2024-06-19
user_17870,Makeup Set,Sangat kecewa dengan produk ini.,1,2024-07-04
user_4548,Headset Gaming,Harga terjangkau dengan kualitas oke.,5,2023-11-18
gantar06,Jam Tangan Digital,Barang sampai dengan aman dan cepat.,5,2025-02-17
user_13060,Kaos Polos,Barang tidak berfungsi dengan baik.,2,2023-08-03
user_9940,Powerbank,Penjual tidak merespon chat.,2,2023-02-09
user_24688,Lampu Tidur,Sudah komplain tapi tidak ada solusi.,2,2023-12-13
user_10120,Jam Tangan Digital,Baru dipakai sebentar sudah rusak.,2,2023-01-05
user_10156,Flashdisk 64GB,Sudah komplain tapi tidak ada solusi.,2,2024-11-03
