Username,Produk,Review,Rating,ReviewAt,Label
user_2773,Mouse Wireless,Sangat direkomendasikan untuk semua orang.,4,2023-01-27,1
user_12028,Makeup Set,Pengiriman sangat lama.,1,2023-10-05,0
user_12405,Rak Sepatu,Sudah beli berkali-kali di sini dan selalu puas.,4,2024-02-09,1
user_3965,Jam Tangan Digital,Suka banget sama produk ini.,5,2023-08-18,1
donomahendra,Jam Tangan Digital,Barang sampai dengan aman dan cepat.,5,2025-04-08,1
hpranowo,Jam Tangan Digital,"Harga terjangkau, kualitas mantap!",5,2025-04-28,1
pmansur,Headset Bluetooth,"Harga terjangkau, kualitas mantap!",5,2025-02-12,1
user_3215,Jam Tangan Digital,"Mantap, gak nyesel beli di sini.",4,2024-05-26,1
user_1785,Buku Catatan,Barang datang lebih cepat dari perkiraan.,4,2023-01-15,1
a*****l,Oneda Felice Tas Jinjing Bahu Selempang Wanita #A6080,Tas nya bagus banget ternyata ada harga ada kualitas tapi sayang ga dikasi paperbag😭 warna hitam mreah banget glowing,5,2025-06-12 18:01,1
user_2536,Kemeja Pria,"Pelayanan cepat, packing aman, produk oke!",5,2024-06-02,1
user_4528,Headset Gaming,Suka banget sama produk ini.,5,2024-02-13,1
user_15653,Kaos Polos,Sudah beli berkali-kali di sini dan selalu puas.,5,2024-09-03,1
amonghandayani,Celana Jeans,"Packing rapi banget, penjual ramah.",4,2025-01-27,1
user_6309,Rak Sepatu,Suka banget sama produk ini.,5,2023-11-17,1
nurlailymursyiddh,Tas Bahu Wanita Tali Selempang Shopie Martin T5720P3,"Desain:cantik sekali
Warna:bagus.. warna nude pink gtuu
Keaslian:asli dong

Cantik sekalii.. tapi sayang packaging nya ga dikasih dust bag biar lebih elegan klo buat kado hehe",5,2025-06-02 13:10,1
user_16199,Powerbank,"Mantap, gak nyesel beli di sini.",4,2023-09-21,1
user_3760,Keyboard Mechanical,Packing rapi dan aman sampai tujuan.,5,2023-08-21,1
user_6955,Rak Sepatu,Top banget! Bakal order lagi nanti.,5,2024-04-29,1
nurbintiumar,Gio Saverino Sepatu Wanita Flat Shoes Kika,Bagus ukurannya pas lebih dikit pnjang kaki 24,4,2025-06-11 20:07,1
user_3270,Meja Belajar,Pengiriman cepat dan aman.,5,2023-02-27,1
vinorajata,Headset Bluetooth,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2024-08-27,1
imam48,Lipstik Matte,Produk original dan kualitasnya premium.,5,2025-01-21,1
rafid48,Sepatu Sneakers,"Harga terjangkau, kualitas mantap!",5,2024-06-18,1
xtampubolon,Mouse Wireless,"Sudah belanja beberapa kali, selalu puas.",5,2024-09-14,1
saputridewimaharani,Wardah EyeXpert Perfect Precision Liner - Eyeliner Waterproof Warna Hitam dengan Aplikator Presisi Mudah Digunakan dan Lembut-Tahan Lama Hingga 12 Jam,Belum dicoba,5,2025-06-13 11:10,1
nugrohoalika,Dompet Kulit,Produk original dan kualitasnya premium.,4,2025-04-05,1
thamrinarta,Keyboard Mechanical,"Sudah belanja beberapa kali, selalu puas.",5,2024-11-13,1
ayuuyainah,Powerbank 10000mAh,"Packing rapi banget, penjual ramah.",5,2025-05-03,1
adesuwarno,Keyboard Mechanical,Barang sampai dengan aman dan cepat.,5,2025-03-18,1
user_3275,Powerbank,"Servis buruk, tidak profesional.",3,2023-03-30,0
s*****3,Bedcover Set Plain Khaki Dual Color 90x200 - 200x200,spreinya lembut tapi bahan selimutnya ga selembut yang aku kira sih:( terus kainnya yg gampang nempel debu gitu,4,2025-05-18 22:22,1
user_20621,Jam Tangan Digital,Sesuai dengan rating dan review yang saya baca.,5,2024-11-07,1
user_13851,Rak Sepatu,Suka banget sama produk ini.,4,2024-05-06,1
user_15017,Flashdisk 64GB,Suka banget sama produk ini.,4,2024-01-29,1
upurnawati,Lipstik Matte,"Harga terjangkau, kualitas mantap!",5,2025-02-15,1
user_4883,Jam Tangan Digital,Sesuai dengan rating dan review yang saya baca.,5,2024-01-11,1
user_15387,Celana Jeans,Kualitas di atas ekspektasi saya!,4,2023-11-10,1
padmasarijarwi,Sandals Pria,"Packing rapi banget, penjual ramah.",5,2024-11-20,1
user_13419,Keyboard Mechanical,"Puas banget, terima kasih seller!",4,2024-07-29,1
budi82,Tas Ransel,Produk original dan kualitasnya premium.,5,2025-05-23,1
voktaviani,Kemeja Polos,puas packing aman oke recommended recommended warna cantik murah cepat,5,2025-03-17,1
abu_azka,[​NEW ADVANCED FORMULA] SKINTIFIC - 5X Ceramide Serum Sunscreen SPF 50+ PA++++ 50ml | Melembapkan Hidrasi Lembap Sunblock Sun-Repair Invisible Serum 2-in-1 Skincare Sunscreen Skin True to Skin Sunscreen Aqua Sunblock Glowing Barrier,Pembelian ketiga disini... Secara produk ini kualitasnya oke dan cocok kami pakai... Tp QC kali ini buruk...Yang dipesan 2 pcs ceramide yg dikirim cm 1 pcs...,1,2025-06-10 21:43,0
labuh46,Jaket Hoodie,"Packing rapi banget, penjual ramah.",5,2025-05-18,1
kadir07,Kemeja Polos,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2025-02-12,1
victoria50,Kemeja Polos,Produk original dan kualitasnya premium.,4,2024-06-26,1
artantoutami,Powerbank 10000mAh,"Harga terjangkau, kualitas mantap!",5,2025-05-04,1
b*****a,Drees anak-anak wanita (1-14),Asli nya cakep bnget..bahan nya sangat nyaman. Sesuai dgn harga nya.. Penjul ny ramah..,5,2021-05-31 21:07,1
ewastuti,Tas Ransel,"Harga terjangkau, kualitas mantap!",4,2025-03-21,1
user_19698,Makeup Set,Sangat puas dengan pelayanan toko ini.,4,2023-01-30,1
user_3046,Makeup Set,Sudah komplain tapi tidak ada solusi.,1,2023-05-07,0
hamima77,Jaket Hoodie,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-03-04,1
saadatwahyuni,Lipstik Matte,"Respon penjual cepat, barang dikirim hari itu juga.",4,2024-08-14,1
user_14707,Sepatu Sneakers,Suka banget sama produk ini.,4,2023-05-12,1
user_18318,Celana Jeans,Produk sangat bagus dan sesuai deskripsi!,5,2023-05-11,1
user_10117,Sepatu Sneakers,Packing asal-asalan.,1,2023-09-02,0
padmiwidodo,Sepatu Sneakers,"Packing rapi banget, penjual ramah.",5,2024-09-03,1
michellesusanti,Sandals Pria,Barang sampai dengan aman dan cepat.,5,2024-07-30,1
user_13929,Powerbank,Ukuran pas dan sesuai pesanan.,4,2023-01-06,1
natsirreza,Kaos Oblong,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-01-03,1
user_4608,Kaos Polos,Sangat puas dengan pelayanan toko ini.,5,2023-08-07,1
user_20127,Mouse Wireless,Penjual sangat ramah dan fast respon.,5,2023-05-15,1
luwes62,Sepatu Sneakers,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2025-05-21,1
tugiman00,Sepatu Sneakers,"Warnanya cantik dan tahan lama, puas banget!",4,2025-02-27,1
user_24204,Headset Gaming,Sangat direkomendasikan untuk semua orang.,5,2024-01-23,1
pratiwinatalia,Powerbank 10000mAh,"Packing rapi banget, penjual ramah.",5,2024-12-30,1
widodoemas,Tas Ransel,"Warnanya cantik dan tahan lama, puas banget!",5,2024-12-17,1
user_13117,Smartphone Android,"Barang cacat, sangat mengecewakan.",2,2023-06-01,0
user_57,Kursi Lipat,Sesuai dengan rating dan review yang saya baca.,4,2023-06-03,1
user_2817,Kursi Lipat,Produk tidak sesuai gambar.,2,2023-12-18,0
fajaryulianto280,Judydoll Watery Iron Liptint Gloss,Sangat cantik!,5,2025-06-12 17:34,1
npalastri,Sandals Pria,"Harga terjangkau, kualitas mantap!",5,2024-12-19,1
user_15588,Sepatu Sneakers,Sangat puas dengan pelayanan toko ini.,5,2024-10-19,1
framadan,Tas Ransel,"Sudah belanja beberapa kali, selalu puas.",4,2024-10-04,1
user_2010,Meja Belajar,Kualitas di atas ekspektasi saya!,4,2023-08-27,1
garan84,Sepatu Sneakers,Barang sampai dengan aman dan cepat.,4,2024-10-22,1
user_2106,Meja Belajar,Sangat kecewa dengan produk ini.,1,2023-08-08,0
rahmawatisatya,Dompet Kulit,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-03-11,1
tandriani,Celana Jeans,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-07-09,1
user_14050,Celana Jeans,"Pelayanan cepat, packing aman, produk oke!",4,2024-07-15,1
user_14791,Smartphone Android,Penjual sangat ramah dan fast respon.,4,2024-07-31,1
user_5549,Makeup Set,Pengiriman cepat dan aman.,4,2023-06-07,1
user_15340,Kaos Polos,Ukuran pas dan sesuai pesanan.,5,2023-02-22,1
rini61,Sepatu Sneakers,"Pengiriman cepat, packing rapi. Recommended!",5,2025-03-07,1
marwatasuryatmi,Lipstik Matte,"Harga terjangkau, kualitas mantap!",5,2024-08-26,1
user_12090,Jam Tangan Digital,Sudah komplain tapi tidak ada solusi.,3,2023-10-18,0
user_3618,Smartphone Android,Sesuai dengan rating dan review yang saya baca.,5,2024-01-16,1
lestarikartika,Sandals Pria,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-07-21,1
user_15406,Flashdisk 64GB,Pengiriman cepat dan aman.,4,2023-06-06,1
knurdiyanti,Kaos Oblong,"Pengiriman cepat, packing rapi. Recommended!",4,2025-06-13,1
amulyani,Parfum Unisex,"Packing rapi banget, penjual ramah.",5,2025-01-31,1
hamzah03,Parfum Unisex,"Sudah belanja beberapa kali, selalu puas.",5,2025-04-28,1
aihilda,ERHA Age Corrector Kojic Acid & Microalgae Extract Spot Treatment 15g - Krim Untuk Flek Hitam,"Tekstur:lembut
Cocok untuk:wajah
Keaslian:asli",5,2025-06-13 07:02,1
user_575,Lampu Tidur,Barang rusak saat diterima.,2,2023-01-01,0
mpranowo,Kemeja Polos,"Packing rapi banget, penjual ramah.",5,2024-12-21,1
user_4856,Headset Gaming,Sudah beli berkali-kali di sini dan selalu puas.,5,2023-02-12,1
user_13060,Sepatu Sneakers,Rating tinggi tapi kualitas rendah.,1,2023-01-22,0
wibowoirma,Jam Tangan Digital,Barang sampai dengan aman dan cepat.,5,2025-04-15,1
mandalakemal,Mouse Wireless,Produk original dan kualitasnya premium.,4,2024-11-21,1
xxsnjax,Sandal Rumah Miniso,"Tampilan:bagus
Warna:hijau

pas tapi next klu beli mau ukurannya lebih besar lagi, soalnya agak kekecilan dikit",5,2024-03-29 22:44,1
user_22221,Lampu Tidur,Harga terjangkau dengan kualitas oke.,5,2023-10-29,1
yancenovitasari,Headset Bluetooth,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-02-03,1
user_21681,Flashdisk 64GB,Worth it banget untuk harga segini.,4,2023-12-11,1
enteng55,Sepatu Sneakers,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-04-29,1
user_8149,Powerbank,Suka banget sama produk ini.,5,2024-10-15,1
pratamaellis,Dompet Kulit,"Harga terjangkau, kualitas mantap!",5,2024-07-20,1
user_23333,Parfum Wanita,Packing rapi dan aman sampai tujuan.,4,2024-11-12,1
user_24715,Flashdisk 64GB,Sangat puas dengan pelayanan toko ini.,5,2024-06-10,1
jazetry,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,"Tekstur:bagus
Daya Serap:cepat
Efek:efektif

packing aman dan bagus dan pengiriman juga cepat. sangat cocok untuk muka saya dan sudah langganan beli  serum ini terus karna cocok dan bagus serta pengiriman juga cepat . terimakasj",5,2025-06-11 23:01,1
ruwais,Sepatu Sneakers,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-11-15,1
susantiellis,Powerbank 10000mAh,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2024-06-21,1
galakbudiyanto,Tumbler Stainless,"Packing rapi banget, penjual ramah.",4,2024-10-16,1
fmegantara,Kemeja Polos,"Warnanya cantik dan tahan lama, puas banget!",5,2025-06-02,1
user_13558,Buku Catatan,Sangat puas dengan pelayanan toko ini.,4,2024-06-09,1
a*****n,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 100ml,"Tekstur:lembut
Daya Serap:sangat bagus dan efektif
Cocok untuk:kulit kering dan pori-pori besar",5,2025-06-03 02:01,1
cusada,Kaos Oblong,"Packing rapi banget, penjual ramah.",5,2024-08-21,1
cengkal01,Jam Tangan Digital,"Pengiriman cepat, packing rapi. Recommended!",4,2024-08-07,1
user_21408,Kemeja Pria,Sangat puas dengan pelayanan toko ini.,4,2024-09-12,1
candra81,Tumbler Stainless,"Packing rapi banget, penjual ramah.",5,2025-05-16,1
user_14950,Makeup Set,"Puas banget, terima kasih seller!",4,2024-11-29,1
user_16289,Powerbank,Produk sangat bagus dan sesuai deskripsi!,5,2023-12-30,1
user_5068,Kaos Polos,Produk sangat bagus dan sesuai deskripsi!,4,2024-10-26,1
t*****4,"(BARU!) Judydoll Multiuse Blush - 6gr (Cream Blush 3 in 1 Untuk Lipstick & Eyeshadow, Tahan Lama 8 Jam, Pigmented Melembabkan & Tidak Lengket)","Pengalaman Penggunaan:yg dipesen C02, yg dikirim C01",4,2025-06-12 18:06,1
kalim68,Kaos Oblong,"Pengiriman cepat, packing rapi. Recommended!",5,2024-11-04,1
user_11409,Jam Tangan Digital,Sesuai dengan rating dan review yang saya baca.,5,2024-12-22,1
limarsalahudin,Lipstik Matte,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-04-21,1
user_23551,Lampu Tidur,"Pelayanan cepat, packing aman, produk oke!",5,2023-06-28,1
siregarsyahrini,Mouse Wireless,"Sudah belanja beberapa kali, selalu puas.",5,2025-03-11,1
abyasa29,Sepatu Sneakers,"Harga terjangkau, kualitas mantap!",5,2024-11-04,1
user_2409,Parfum Wanita,Harga terjangkau dengan kualitas oke.,4,2024-08-01,1
dadapramadan,Dompet Kulit,Barang sampai dengan aman dan cepat.,5,2024-11-13,1
ghaninuraini,Jaket Hoodie,"Packing rapi banget, penjual ramah.",5,2024-09-13,1
user_4205,Parfum Wanita,Penjual sangat ramah dan fast respon.,5,2024-07-08,1
user_738,Kemeja Pria,Tidak direkomendasikan sama sekali.,2,2023-06-06,0
padmasarioliva,Jam Tangan Digital,Produk original dan kualitasnya premium.,5,2024-08-12,1
user_647,Jam Tangan Digital,Sudah beli berkali-kali di sini dan selalu puas.,4,2023-09-24,1
user_8929,Headset Gaming,Kualitas sangat buruk.,1,2023-03-09,0
user_7813,Smartphone Android,Kualitas sangat buruk.,1,2024-12-23,0
user_4710,Makeup Set,Packing rapi dan aman sampai tujuan.,4,2024-05-01,1
maria98,Powerbank 10000mAh,"Respon penjual cepat, barang dikirim hari itu juga.",4,2025-05-09,1
rrahayu,Celana Jeans,Produk original dan kualitasnya premium.,5,2025-01-14,1
virawan,Tas Ransel,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-03-05,1
user_17890,Rak Sepatu,Top banget! Bakal order lagi nanti.,5,2024-10-26,1
p*****a,Meteran Pita Ukur Badan Tubuh Baju Kain 150CM Tailoring Tape Butterfly,"Warna:warna  random
Kualitas:sedang sesuai harga
Desain:sederhana untuk alat mengukur tubuh

Produknya bagus tp tipis dan kecil. Beda dengan meteran yang satunya. Penasaran dgn harga yang murah. Ada kualitas ada harga",4,2025-06-12 18:19,1
user_6925,Sepatu Sneakers,Suka banget sama produk ini.,5,2024-09-16,1
user_22543,Headset Gaming,Sangat puas dengan pelayanan toko ini.,5,2023-01-10,1
user_7967,Meja Belajar,Penjual sangat ramah dan fast respon.,5,2024-03-21,1
psihombing,Jaket Hoodie,Produk original dan kualitasnya premium.,4,2024-12-06,1
user_12116,Meja Belajar,"Servis buruk, tidak profesional.",1,2023-04-29,0
catur15,Keyboard Mechanical,"Packing rapi banget, penjual ramah.",4,2025-05-04,1
kamal01,Tumbler Stainless,Produk original dan kualitasnya premium.,5,2024-12-10,1
user_9656,Parfum Wanita,Barang datang lebih cepat dari perkiraan.,5,2024-10-15,1
corneliasuwarno,Keyboard Mechanical,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-05-30,1
user_2928,Skincare Serum,Warna dan bentuk persis seperti di gambar.,5,2024-07-12,1
user_20243,Skincare Serum,Sangat puas dengan pelayanan toko ini.,4,2024-05-09,1
nugrohorahmi,Jaket Hoodie,"Warnanya cantik dan tahan lama, puas banget!",5,2025-03-03,1
user_16443,Headset Gaming,Barang datang lebih cepat dari perkiraan.,4,2023-08-11,1
a*****l,Fleurette| Sepatu Sendal Wanita |CLEO,"Sesuai dengan deskripsi, cuma ternyata agak berat, jadi agak kurang nyaman saat dipakai jalan. Karet juga agak kendor untuk ukuran normal kaki saya (biasa pakai 37).",4,2025-05-13 15:33,1
irwannuraini,Celana Jeans,"Harga terjangkau, kualitas mantap!",5,2024-12-12,1
user_18732,Lampu Tidur,Warna tidak sesuai pesanan.,3,2023-11-06,0
irsadsusanti,Kemeja Polos,"Packing rapi banget, penjual ramah.",5,2024-07-08,1
pangeran16,Sepatu Sneakers,"Packing rapi banget, penjual ramah.",5,2025-02-11,1
eskaclata,SKIN1004 Madagascar Centella Soothing Cream 30ml,Packingan aman dan rapi cepat sampai buat kado ultah temanku jadi semoga cocok dan ngefek buat dia,5,2025-06-11 18:24,1
user_10447,Lampu Tidur,Packing rapi dan aman sampai tujuan.,5,2024-12-10,1
vero83,Celana Jeans,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-10-24,1
user_11063,Keyboard Mechanical,Kualitas di atas ekspektasi saya!,5,2024-04-23,1
garanmegantara,Dompet Kulit,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-11-12,1
lpratama,Tumbler Stainless,Produk original dan kualitasnya premium.,4,2025-05-18,1
user_24015,Tas Wanita,"Pelayanan cepat, packing aman, produk oke!",4,2024-09-19,1
laksitagara,Parfum Unisex,Produk original dan kualitasnya premium.,5,2024-08-15,1
haulasyifa_store123,SKINTIFIC - Panthenol Gentle Gel Cleanser 120ml * 3pcs Panthenol & Centella Asiatica | Oil Control Clean Calming Down and Clear Facial Wash Sabun Cuci Muka Glowing Barrier Brightening Whitening Blackhead Removal Dark Spot cleansing with Amino Acid Ceramid,"Tekstur:kental
Cocok untuk:kulit sensitif
Aroma:segar netral

Beberapa hari coba aman di kulit saya kondisi saya sedang hamil tapi produk ini aman untuk bumil dan busui",5,2025-06-10 10:26,1
user_22635,Jam Tangan Digital,Harga terjangkau dengan kualitas oke.,4,2024-09-04,1
user_19621,Jam Tangan Digital,Pengiriman cepat dan aman.,5,2023-07-31,1
user_17428,Smartphone Android,Penjual tidak merespon chat.,2,2023-04-03,0
jaka29,Jam Tangan Digital,"Packing rapi banget, penjual ramah.",5,2025-01-01,1
user_5251,Parfum Wanita,Top banget! Bakal order lagi nanti.,5,2024-12-09,1
yani05,Tas Ransel,Produk original dan kualitasnya premium.,5,2025-02-16,1
mulyono49,Powerbank 10000mAh,"Warnanya cantik dan tahan lama, puas banget!",4,2025-02-03,1
mansurjaswadi,Celana Jeans,"Warnanya cantik dan tahan lama, puas banget!",5,2025-03-19,1
user_6672,Kursi Lipat,Barang rusak saat diterima.,3,2024-01-07,0
user_14843,Mouse Wireless,Sesuai dengan rating dan review yang saya baca.,4,2024-01-22,1
ismail69,Mouse Wireless,Barang sampai dengan aman dan cepat.,5,2024-09-27,1
taniagunarto,Sandals Pria,"Packing rapi banget, penjual ramah.",5,2024-11-17,1
user_13284,Flashdisk 64GB,Pengiriman cepat dan aman.,4,2023-07-03,1
cindy46,Celana Jeans,"Harga terjangkau, kualitas mantap!",4,2025-05-26,1
plailasari,Mouse Wireless,"Sudah belanja beberapa kali, selalu puas.",5,2024-08-31,1
user_10901,Keyboard Mechanical,"Mantap, gak nyesel beli di sini.",5,2024-11-15,1
muniwasita,Celana Jeans,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2024-11-09,1
kamilaum,SKIN1004 Madagascar Centella Soothing Cream 75ml,"Bagus banget experience pakenya, tapi kurang cocok di kulitku. AKU JUAL RUGI YA GUYS, 159k buat big size + travel size + gratis ongkir khusus jabodetabek. Ige aku nauraaizaaa",5,2025-06-11 20:48,1
user_24047,Rak Sepatu,"Mantap, gak nyesel beli di sini.",4,2023-08-30,1
l*****a,Fleurette | Sepatu Kerja Pantofel Wanita | MARIA 2,"Kenyamanan:nyaman
Desain:bagus
Warna:sangat bagus dan sesuai gambar",5,2025-04-23 21:39,1
user_2722,Celana Jeans,Ukuran tidak sesuai deskripsi.,2,2023-08-30,0
user_21112,Headset Gaming,Sangat direkomendasikan untuk semua orang.,5,2024-11-26,1
user_14694,Sepatu Sneakers,Sudah beli berkali-kali di sini dan selalu puas.,5,2023-04-02,1
user_4058,Buku Catatan,"Puas banget, terima kasih seller!",5,2024-12-29,1
whardiansyah,Headset Bluetooth,"Pengiriman cepat, packing rapi. Recommended!",5,2024-08-30,1
user_12613,Jam Tangan Digital,Pengiriman cepat dan aman.,5,2023-04-02,1
user_11636,Skincare Serum,Barang original dan berkualitas.,5,2023-09-16,1
user_18621,Flashdisk 64GB,Top banget! Bakal order lagi nanti.,4,2024-09-20,1
user_16041,Kemeja Pria,Terlalu mahal untuk kualitas seperti ini.,1,2024-11-18,0
eko83,Powerbank 10000mAh,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-08-31,1
gangsawulandari,Dompet Kulit,Produk original dan kualitasnya premium.,5,2025-05-13,1
user_6474,Buku Catatan,Produk sangat bagus dan sesuai deskripsi!,4,2024-06-17,1
user_19021,Kaos Polos,Harga terjangkau dengan kualitas oke.,5,2023-04-07,1
hnamaga,Sandals Pria,"Warnanya cantik dan tahan lama, puas banget!",5,2024-09-24,1
thamrinyessi,Sandals Pria,"Warnanya cantik dan tahan lama, puas banget!",4,2024-06-17,1
user_21619,Sepatu Sneakers,Top banget! Bakal order lagi nanti.,4,2024-08-05,1
salsabilawinarno,Kemeja Polos,"Pengiriman cepat, packing rapi. Recommended!",5,2025-03-25,1
nlaksita,Sandals Pria,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-06-08,1
user_19652,Kemeja Pria,Harga terjangkau dengan kualitas oke.,5,2024-09-12,1
user_9504,Sepatu Sneakers,Sangat puas dengan pelayanan toko ini.,4,2023-06-04,1
user_1819,Jam Tangan Digital,"Barang cacat, sangat mengecewakan.",3,2024-12-13,0
user_1730,Mouse Wireless,"Beli karena review bagus, ternyata zonk.",1,2023-08-27,0
edward65,Lipstik Matte,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-04-20,1
user_16556,Mouse Wireless,Harga terjangkau dengan kualitas oke.,5,2024-07-27,1
user_3274,Rak Sepatu,Sesuai dengan rating dan review yang saya baca.,4,2023-09-20,1
febirs_31,[6.6 MEGA DEALS] [BUY 2 GET 3!] NEW! WARDAH Glossicle Peptide Balm - Ombre Glossicle - Dilengkapi dengan Peptide & UV Filter -  Memperkuat Lip Barrier - Hasil Akhir Bibir Lembab dan Glossy - Lip Balm -Lip Tint - Makeup,Bagus waw,5,2025-06-13 10:47,1
dacinwasita,Jam Tangan Digital,"Respon penjual cepat, barang dikirim hari itu juga.",4,2024-10-11,1
user_12493,Tas Wanita,Barang datang lebih cepat dari perkiraan.,4,2024-02-01,1
d*****a,CO LIVE SALE 1 KG,Dua kali beli disini bagus2 makasih kak hehe,5,2022-02-10 06:58,1
user_8954,Smartphone Android,Packing rapi dan aman sampai tujuan.,4,2023-12-22,1
user_1733,Meja Belajar,Packing rapi dan aman sampai tujuan.,4,2024-09-26,1
jayadihartati,Sandals Pria,"Pengiriman cepat, packing rapi. Recommended!",4,2024-12-01,1
sgunawan,Keyboard Mechanical,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-04-04,1
user_20963,Smartphone Android,Top banget! Bakal order lagi nanti.,4,2023-04-21,1
user_54,Buku Catatan,Baru dipakai sebentar sudah rusak.,2,2023-10-14,0
user_7453,Meja Belajar,Pengiriman cepat dan aman.,4,2023-09-10,1
shantypurba566,Nevada Girls Team 08 Kaos Lengan Pendek Wanita 121636703,Bagus.,5,2025-06-13 07:50,1
user_17833,Mouse Wireless,Suka banget sama produk ini.,5,2024-01-12,1
user_13572,Kaos Polos,Barang datang lebih cepat dari perkiraan.,4,2024-07-22,1
ddrue,ESQA Minimalist Blurring Serum Skin Tint SPF 35 PA++,"Tekstur:cair
Berat:ringan
Kenyamanan:enak digunakan, ringan tapi masih bisa coverage

Buat daily cocok bangetttt",5,2025-06-12 15:44,1
winarnoemil,Tas Ransel,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-06-09,1
s*****_,Oneda Joy Dompet Lipat Kartu Cash Coin Wanita #W238,"Pesanan sesuai, packing kirim cepet. Suka, jahitan rapi banget. Buat kado ga malu2in, hihi.",5,2025-06-09 13:33,1
rprastuti,Sepatu Sneakers,"Sudah belanja beberapa kali, selalu puas.",5,2024-09-22,1
user_13204,Kursi Lipat,Packing rapi dan aman sampai tujuan.,5,2023-09-30,1
drajat42,Keyboard Mechanical,Barang sampai dengan aman dan cepat.,5,2025-06-01,1
budimanbakiadi,Headset Bluetooth,"Sudah belanja beberapa kali, selalu puas.",5,2025-02-23,1
